,coin_Aave,coin_NEM,coin_Uniswap,coin_Solana,coin_EOS,coin_Iota,coin_WrappedBitcoin,coin_ChainLink,coin_Cardano,coin_XRP,coin_Bitcoin,coin_Stellar,coin_Litecoin,coin_Monero,coin_Ethereum,coin_Tether,coin_USDCoin,coin_Cosmos,coin_BinanceCoin,coin_CryptocomCoin,coin_Polkadot,coin_Tron,coin_Dogecoin
coin_Aave,1.0,0.5589944165263093,0.911700809375834,0.654969525318734,0.7120290290521745,0.8278126737298711,0.8429114431972952,0.9030929985845809,0.8058817861809935,0.6061982302196047,0.8419784887855454,0.9138808735820315,0.8379533442124832,0.7452381719657242,0.8357687908953196,0.11254477392231621,0.1387440444499737,0.8963671658052813,0.7443947910459627,0.680489569377839,0.8978587519586448,0.6999218017107718,0.5726925926832522
coin_NEM,0.5589944165263093,1.0,0.5393019575741685,0.04484798099863221,0.2610986804756132,0.538902821318222,0.6903270516823986,0.5434823568242261,0.2897461495746941,0.15936756030383373,0.6913435807245107,0.5777042850996498,0.517808158724507,0.33415596844664347,0.22634151878527115,0.07417703719824835,0.10979321011486862,0.661933847932588,0.3024025956513936,0.5857490481233153,0.6940129325607308,0.2963299578701117,-0.06396284487303446
coin_Uniswap,0.911700809375834,0.5393019575741685,1.0,0.779657642415665,0.7780585684463854,0.9431725548191427,0.8917865859451237,0.92998753060349,0.867220513974982,0.7321990094384829,0.8908375591882416,0.9029370599131007,0.8885564803575672,0.8767516014672423,0.8772008521928069,0.08291210640681997,0.2109175544431005,0.9381604225579249,0.902096924817629,0.8600533540200663,0.9410350692836081,0.841933030304538,0.6590560670522934
coin_Solana,0.654969525318734,0.04484798099863221,0.779657642415665,1.0,0.7855493931440143,0.7608423884742936,0.5288644270208848,0.6973205737747231,0.9006021491814358,0.8262829472490514,0.5273182007756729,0.6756376859354382,0.6968920389702217,0.8664785903437547,0.9117517325999607,-0.005341401517291362,0.14295288411994717,0.6507486110210476,0.9230026822127225,0.5801916894068098,0.6191565753487381,0.829909694163327,0.912015003034779
coin_EOS,0.7120290290521745,0.2610986804756132,0.7780585684463854,0.7855493931440143,1.0,0.8357145296517346,0.6198002293552866,0.8640787870776591,0.7798426500654726,0.8776981324815104,0.6175145802308786,0.8467361236679565,0.8732452170208201,0.896730904610085,0.8810234468541778,0.04274293980323898,0.16860819756438072,0.7770836042940976,0.8772189983592926,0.6245298354846198,0.7226987706872519,0.8961450172315174,0.8142954829415825
coin_Iota,0.8278126737298711,0.538902821318222,0.9431725548191427,0.7608423884742936,0.8357145296517346,1.0,0.8811766841012987,0.9250938914195406,0.8144867459962921,0.8160811679022274,0.8803345567469608,0.9118835058976219,0.914801207173057,0.9221462622393445,0.8263537550963057,0.09476677545050537,0.26953320196716646,0.9497928334839032,0.9285280982356975,0.8939472737674654,0.9272710984653966,0.9246388320097504,0.6397192806875658
coin_WrappedBitcoin,0.8429114431972952,0.6903270516823986,0.8917865859451237,0.5288644270208848,0.6198002293552866,0.8811766841012987,1.0,0.8548463579391103,0.6933863880174661,0.524108017012222,0.9999716656882951,0.8794763189762173,0.8738576697008766,0.7358849241050437,0.7036160413008913,0.10867848393711607,0.2306316214935252,0.9223420669861714,0.7308340038108249,0.8741962804212186,0.9497409853372594,0.7172921301545522,0.3719348021124683
coin_ChainLink,0.9030929985845809,0.5434823568242261,0.92998753060349,0.6973205737747231,0.8640787870776591,0.9250938914195406,0.8548463579391103,1.0,0.7716532076628516,0.7658129726210811,0.8533042187892289,0.9545015537905872,0.9539801592230714,0.8897571988215156,0.8692316292503066,0.07637643190699815,0.17099369806035375,0.9378722226329776,0.8585741255585112,0.7627852870969272,0.9135946058984357,0.8531198573116002,0.6656635647196342
coin_Cardano,0.8058817861809935,0.2897461495746941,0.867220513974982,0.9006021491814358,0.7798426500654726,0.8144867459962921,0.6933863880174661,0.7716532076628516,1.0,0.7141256019182892,0.6925171443958243,0.7936494561133685,0.7483294631659065,0.8130673650063686,0.9215916216303034,0.0761750235998184,0.19268838914675446,0.7898532300222569,0.8815277333850727,0.6999547744489074,0.7848361908595458,0.77243503608898,0.8027070198865421
coin_XRP,0.6061982302196047,0.15936756030383373,0.7321990094384829,0.8262829472490514,0.8776981324815104,0.8160811679022274,0.524108017012222,0.7658129726210811,0.7141256019182892,1.0,0.5221042454741901,0.75362964099365,0.7633967567188719,0.8870228560002793,0.7943453815065368,0.04436950759013882,0.1930430150819197,0.6786256586440748,0.8963119826802339,0.598463700188322,0.6150496934640456,0.9288601282722434,0.8044356616142081
coin_Bitcoin,0.8419784887855454,0.6913435807245107,0.8908375591882416,0.5273182007756729,0.6175145802308786,0.8803345567469608,0.9999716656882951,0.8533042187892289,0.6925171443958243,0.5221042454741901,1.0,0.8784083717993726,0.8723198120050615,0.7340550842431943,0.7016594425246758,0.10856088894708657,0.23050662876714323,0.9217221189170072,0.7293791734406795,0.8744934167972589,0.9495323959866306,0.7158690233363686,0.3694446238780085
coin_Stellar,0.9138808735820315,0.5777042850996498,0.9029370599131007,0.6756376859354382,0.8467361236679565,0.9118835058976219,0.8794763189762173,0.9545015537905872,0.7936494561133685,0.75362964099365,0.8784083717993726,1.0,0.944180467703025,0.8506370060796993,0.8566904084857019,0.1056299997677359,0.17850282624148917,0.9300910273709149,0.8273877933708896,0.7492956374330167,0.9190887363556215,0.8322199442393214,0.6115650787899338
coin_Litecoin,0.8379533442124832,0.517808158724507,0.8885564803575672,0.6968920389702217,0.8732452170208201,0.914801207173057,0.8738576697008766,0.9539801592230714,0.7483294631659065,0.7633967567188719,0.8723198120050615,0.944180467703025,1.0,0.9104820016389015,0.8680330607319158,0.04256331727894829,0.16385960020252863,0.907274975721725,0.8616681941406085,0.7456740198294439,0.8801276916115525,0.8624171534582926,0.669289469655426
coin_Monero,0.7452381719657242,0.33415596844664347,0.8767516014672423,0.8664785903437547,0.896730904610085,0.9221462622393445,0.7358849241050437,0.8897571988215156,0.8130673650063686,0.8870228560002793,0.7340550842431943,0.8506370060796993,0.9104820016389015,1.0,0.9002803186823126,-0.016400693329872377,0.177916063755372,0.844164594539653,0.9647648414550267,0.7245889431619555,0.7859774293964971,0.9303480215826969,0.8203228214137918
coin_Ethereum,0.8357687908953196,0.22634151878527115,0.8772008521928069,0.9117517325999607,0.8810234468541778,0.8263537550963057,0.7036160413008913,0.8692316292503066,0.9215916216303034,0.7943453815065368,0.7016594425246758,0.8566904084857019,0.8680330607319158,0.9002803186823126,1.0,0.027646377861177355,0.1242027509256156,0.7935476660870925,0.913112012146869,0.6250173162825867,0.7681623723419584,0.8385068486706712,0.8826175583498798
coin_Tether,0.11254477392231621,0.07417703719824835,0.08291210640681997,-0.005341401517291362,0.04274293980323898,0.09476677545050537,0.10867848393711607,0.07637643190699815,0.0761750235998184,0.04436950759013882,0.10856088894708657,0.1056299997677359,0.04256331727894829,-0.016400693329872377,0.027646377861177355,1.0,0.781102219235396,0.09217586803704103,0.023529986802541786,0.1535417655980736,0.13106286399787262,0.1078843879185258,-0.018343050461735472
coin_USDCoin,0.1387440444499737,0.10979321011486862,0.2109175544431005,0.14295288411994717,0.16860819756438072,0.26953320196716646,0.2306316214935252,0.17099369806035375,0.19268838914675446,0.1930430150819197,0.23050662876714323,0.17850282624148917,0.16385960020252863,0.177916063755372,0.1242027509256156,0.781102219235396,1.0,0.22686979107724653,0.2135056086758915,0.3506606288230561,0.2597632761330032,0.2865040757416851,0.07027478046870285
coin_Cosmos,0.8963671658052813,0.661933847932588,0.9381604225579249,0.6507486110210476,0.7770836042940976,0.9497928334839032,0.9223420669861714,0.9378722226329776,0.7898532300222569,0.6786256586440748,0.9217221189170072,0.9300910273709149,0.907274975721725,0.844164594539653,0.7935476660870925,0.09217586803704103,0.22686979107724653,1.0,0.8335949022740872,0.8647529935069685,0.9656119940989988,0.8106852732279485,0.5373967293805509
coin_BinanceCoin,0.7443947910459627,0.3024025956513936,0.902096924817629,0.9230026822127225,0.8772189983592926,0.9285280982356975,0.7308340038108249,0.8585741255585112,0.8815277333850727,0.8963119826802339,0.7293791734406795,0.8273877933708896,0.8616681941406085,0.9647648414550267,0.913112012146869,0.023529986802541786,0.2135056086758915,0.8335949022740872,1.0,0.7800842466598726,0.8015252580419775,0.9472360732365958,0.8291142293233567
coin_CryptocomCoin,0.680489569377839,0.5857490481233153,0.8600533540200663,0.5801916894068098,0.6245298354846198,0.8939472737674654,0.8741962804212186,0.7627852870969272,0.6999547744489074,0.598463700188322,0.8744934167972589,0.7492956374330167,0.7456740198294439,0.7245889431619555,0.6250173162825867,0.1535417655980736,0.3506606288230561,0.8647529935069685,0.7800842466598726,1.0,0.8935245400306299,0.773296374466468,0.38593882577251765
coin_Polkadot,0.8978587519586448,0.6940129325607308,0.9410350692836081,0.6191565753487381,0.7226987706872519,0.9272710984653966,0.9497409853372594,0.9135946058984357,0.7848361908595458,0.6150496934640456,0.9495323959866306,0.9190887363556215,0.8801276916115525,0.7859774293964971,0.7681623723419584,0.13106286399787262,0.2597632761330032,0.9656119940989988,0.8015252580419775,0.8935245400306299,1.0,0.7797323733600282,0.4735457988743457
coin_Tron,0.6999218017107718,0.2963299578701117,0.841933030304538,0.829909694163327,0.8961450172315174,0.9246388320097504,0.7172921301545522,0.8531198573116002,0.77243503608898,0.9288601282722434,0.7158690233363686,0.8322199442393214,0.8624171534582926,0.9303480215826969,0.8385068486706712,0.1078843879185258,0.2865040757416851,0.8106852732279485,0.9472360732365958,0.773296374466468,0.7797323733600282,1.0,0.7518102405836994
coin_Dogecoin,0.5726925926832522,-0.06396284487303446,0.6590560670522934,0.912015003034779,0.8142954829415825,0.6397192806875658,0.3719348021124683,0.6656635647196342,0.8027070198865421,0.8044356616142081,0.3694446238780085,0.6115650787899338,0.669289469655426,0.8203228214137918,0.8826175583498798,-0.018343050461735472,0.07027478046870285,0.5373967293805509,0.8291142293233567,0.38593882577251765,0.4735457988743457,0.7518102405836994,1.0
